CMDLINE /cvmfs/sft.cern.ch/lcg/views/LCG_106/x86_64-el9-gcc13-opt/bin/python train.py
MEM 2814.214844 1759137869.7293
MEM 2833.464844 1759137869.8297
MEM 2853.464844 1759137869.9301
MEM 2864.964844 1759137870.0305
MEM 2885.214844 1759137870.1309
MEM 2894.964844 1759137870.2345
MEM 2914.714844 1759137870.3349
MEM 2934.214844 1759137870.4353
MEM 2955.214844 1759137870.5357
MEM 2973.464844 1759137870.6361
MEM 2992.464844 1759137870.7364
MEM 3014.714844 1759137870.8368
MEM 3035.464844 1759137870.9372
MEM 3055.464844 1759137871.0376
MEM 3074.714844 1759137871.1380
MEM 3095.214844 1759137871.2384
MEM 3115.464844 1759137871.3389
MEM 3134.964844 1759137871.4393
MEM 3155.214844 1759137871.5396
MEM 3175.214844 1759137871.6400
MEM 3196.464844 1759137871.7404
MEM 3218.464844 1759137871.8407
MEM 3240.964844 1759137871.9411
MEM 3245.714844 1759137872.0415
MEM 3245.714844 1759137872.1419
MEM 3257.964844 1759137872.2423
MEM 3275.464844 1759137872.3426
MEM 3288.714844 1759137872.4430
MEM 3298.714844 1759137872.5434
MEM 3317.964844 1759137872.6522
MEM 3336.714844 1759137872.7526
MEM 3347.714844 1759137872.8530
MEM 3367.964844 1759137872.9534
MEM 3383.714844 1759137873.0538
MEM 3398.714844 1759137873.1541
MEM 3411.714844 1759137873.2545
MEM 3428.714844 1759137873.3548
MEM 3448.714844 1759137873.4552
MEM 3466.464844 1759137873.5556
MEM 3488.214844 1759137873.6560
MEM 3509.214844 1759137873.7564
MEM 3528.214844 1759137873.8567
MEM 3548.464844 1759137873.9570
MEM 3567.964844 1759137874.0573
MEM 3587.964844 1759137874.1577
MEM 3608.214844 1759137874.2580
MEM 3627.964844 1759137874.3583
MEM 3638.214844 1759137874.4603
MEM 3658.464844 1759137874.5607
MEM 3678.714844 1759137874.6611
MEM 3697.558594 1759137874.7614
MEM 3696.011719 1759137874.8618
MEM 3696.011719 1759137874.9622
MEM 3696.011719 1759137875.0625
MEM 3696.011719 1759137875.1629
MEM 3696.011719 1759137875.2633
MEM 3696.011719 1759137875.3636
MEM 3696.011719 1759137875.4639
MEM 3696.011719 1759137875.5641
MEM 3701.824219 1759137875.6643
MEM 3701.824219 1759137875.7645
MEM 3701.824219 1759137875.8649
MEM 3763.636719 1759137875.9652
MEM 3763.636719 1759137876.0654
MEM 3763.636719 1759137876.1656
MEM 3763.636719 1759137876.2658
MEM 3763.636719 1759137876.3660
MEM 3818.406250 1759137876.4663
MEM 3818.406250 1759137876.5665
MEM 3818.406250 1759137876.6667
MEM 3818.406250 1759137876.7669
MEM 3818.406250 1759137876.8671
MEM 3818.406250 1759137876.9673
MEM 3818.406250 1759137877.0675
MEM 3818.406250 1759137877.1677
MEM 3818.406250 1759137877.2681
MEM 3763.652344 1759137877.3683
MEM 3763.652344 1759137877.4685
MEM 3708.605469 1759137877.5687
MEM 3727.105469 1759137877.6691
MEM 3747.855469 1759137877.7694
MEM 3770.355469 1759137877.8698
MEM 3792.855469 1759137877.9701
